Category,Question,Answer
Billing,How do I update my payment method?,"Go to your Account Settings > Payment Methods. Click 'Add New Card' to add a payment method, or click the pencil icon next to an existing card to update it. We accept Visa, Mastercard, American Express, and PayPal."
Billing,How do I get a refund?,"Refunds are available within 30 days of purchase for unopened items in original packaging. Go to Order History, select the order, and click 'Request Refund'. Opened items may be eligible for store credit. Refunds process within 5-7 business days."
Billing,Where can I find my invoice?,"Invoices are emailed automatically after each purchase. You can also find all invoices in Account Settings > Order History > View Invoice. PDF downloads are available for each order."
Billing,What payment methods do you accept?,"We accept Visa, Mastercard, American Express, Discover, PayPal, and Apple Pay. For orders over $500, we also offer financing through Affirm with 0% APR for 6 months."
Billing,Why was my payment declined?,"Common reasons include: incorrect card details, insufficient funds, or bank security blocks. Please verify your card info, try a different payment method, or contact your bank. Our payment system uses 3D Secure for fraud protection."
Billing,Do you offer price matching?,"Yes! We price match against Amazon, Newegg, and Best Buy. Send us a link to the lower price within 14 days of purchase, and we'll refund the difference. The item must be identical (same SKU) and in stock."
Technical,My mouse is not working. What should I do?,"Try these steps: 1) Check if it's charged/has fresh batteries, 2) Try a different USB port, 3) For wireless mice, re-pair by holding the connect button for 3 seconds, 4) Update drivers at our support page: support.techparts.com/drivers. If issues persist, contact us for warranty replacement."
Technical,How do I set up my mechanical keyboard?,"Plug in via USB or enable Bluetooth in your device settings. Download our software from support.techparts.com/software to customize RGB lighting, macros, and key mappings. For Mac users, toggle the Mac/Win switch on the bottom of the keyboard."
Technical,My headphones have audio issues.,"Check these: 1) Ensure volume isn't muted, 2) Try different audio source, 3) For Bluetooth: forget device and re-pair, 4) Update firmware via our app (download at support.techparts.com/app). Crackling may indicate cable damage - check warranty for replacement."
Technical,How do I update firmware on my device?,"Download our TechParts Manager app from support.techparts.com/app. Connect your device via USB, open the app, and click 'Check for Updates'. Never disconnect during firmware updates. Most updates take 2-5 minutes."
Technical,The RGB lighting on my keyboard isn't working.,"Open TechParts Manager software and go to Lighting tab. Check if lighting is set to 'Off' or brightness is at 0%. Try resetting to default (Fn+R for 5 seconds). If hardware issue, warranty covers RGB failures for 2 years."
Technical,How do I connect multiple devices to my Bluetooth mouse?,"Our multi-device mice support up to 3 connections. Press the device switch button (under the mouse) to toggle between slots 1-2-3. Hold for 3 seconds on empty slot to enter pairing mode. Each slot pairs with one device."
Feature_Request,Do you have wireless versions of your keyboards?,"Yes! Most of our mechanical keyboards come in wireless variants with 2.4GHz dongle and Bluetooth 5.0. Check product pages for '-WL' suffix (e.g., MK750-WL). Wireless models have 40+ hour battery life with RGB on."
Feature_Request,Will you release products in different colors?,"We regularly release new colorways based on customer demand. Join our newsletter at techparts.com/newsletter to get notified about new colors. You can also vote for colors on our community forum: community.techparts.com/ideas."
Feature_Request,Can I request a custom keycap set?,"We offer custom keycap sets for orders of 50+ units (corporate/team orders). For individual custom keycaps, check our marketplace partners at techparts.com/partners. We're exploring on-demand customization for 2025."
Feature_Request,Do you plan to support Mac better?,"We're actively improving Mac support! Recent updates include native macOS key mappings and M1/M2 optimized drivers. Our Q2 roadmap includes Mac-specific software. Share specific needs at feedback.techparts.com."
General_Inquiry,What is your return policy?,"30-day returns on unopened items, 15-day returns on opened items (must be in original packaging with all accessories). Defective items are covered under warranty. Return shipping is free for defective products; $7.99 for other returns."
General_Inquiry,How long does shipping take?,"Standard shipping: 5-7 business days (free over $50). Express: 2-3 business days ($9.99). Next-day: Order by 2PM EST for next business day ($19.99). International shipping available to 40+ countries (7-14 days)."
General_Inquiry,What is your warranty policy?,"All products include a 2-year limited warranty covering manufacturing defects. Gaming mice and keyboards include accidental damage protection for the first year. Register products at techparts.com/warranty for easy claims."
General_Inquiry,Do you have a physical store?,"We're primarily online, but we have showrooms in San Francisco, Austin, and New York where you can test products. Book an appointment at techparts.com/showroom. We also sell through Best Buy and Micro Center."
General_Inquiry,How do I track my order?,"Once shipped, you'll receive a tracking email. You can also track at techparts.com/track or in your Account > Orders page. We use FedEx, UPS, and USPS depending on your location and shipping speed selected."
General_Inquiry,Do you offer student discounts?,"Yes! Students get 15% off with a valid .edu email. Verify at techparts.com/students. Teachers and educators also qualify. Discount applies to full-price items and can't be combined with other promotions."
General_Inquiry,Do you ship internationally?,"Yes, we ship to 40+ countries. International orders may incur customs fees which are the buyer's responsibility. Shipping costs and delivery times vary by destination - see estimates at checkout. EU customers: VAT included."
